nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges;pipe_1_timeout;pipe_2_timeout;
200;-1;0.060000000000000005;0.057;0.003;0.0;10;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.08;0.078;0.002;0.0;10;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.044000000000000004;0.042;0.002;0.0;10;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.158;0.154;0.003;0.001;11;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.08700000000000001;0.084;0.003;0.0;11;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.074;0.071;0.003;0.0;11;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.08900000000000001;0.085;0.004;0.0;11;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.10400000000000001;0.096;0.008;0.0;11;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.051000000000000004;0.048;0.003;0.0;11;-1;0;-1;4;5;2;1.105;200;220;-1;0;
200;-1;0.042;0.039;0.003;0.0;11;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.061000000000000006;0.057;0.003;0.001;11;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.083;0.078;0.005;0.0;11;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.045000000000000005;0.042;0.003;0.0;11;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.157;0.154;0.003;0.0;12;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.092;0.084;0.008;0.0;12;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.075;0.071;0.004;0.0;12;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.09000000000000001;0.085;0.005;0.0;12;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.101;0.096;0.005;0.0;12;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.051000000000000004;0.048;0.003;0.0;12;-1;0;-1;4;5;2;1.105;200;220;-1;0;
200;-1;0.042;0.039;0.003;0.0;12;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.061000000000000006;0.057;0.003;0.001;12;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.081;0.078;0.003;0.0;12;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.044000000000000004;0.042;0.002;0.0;12;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.156;0.154;0.002;0.0;13;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.08700000000000001;0.084;0.003;0.0;13;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.075;0.071;0.004;0.0;13;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.08900000000000001;0.085;0.004;0.0;13;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.101;0.096;0.005;0.0;13;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.051000000000000004;0.048;0.003;0.0;13;-1;0;-1;4;5;2;1.105;200;220;-1;0;
200;-1;0.043;0.039;0.004;0.0;13;-1;0;-1;0;1;2;1.245;200;250;-1;0;
