nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges;pipe_1_timeout;pipe_2_timeout;
200;-1;0.11;0.078;0.032;0.0;2;-1;0;-1;1;1;2;2.955;200;569;-1;0;
200;-1;0.078;0.047;0.031;0.0;2;-1;0;-1;1;1;2;2.95;200;583;-1;0;
200;-1;0.08499999999999999;0.054;0.031;0.0;2;-1;0;-1;1;1;2;2.955;200;571;-1;0;
200;-1;0.218;0.187;0.031;0.0;3;-1;0;-1;1;1;2;2.955;200;568;-1;0;
200;-1;0.188;0.156;0.032;0.0;3;-1;0;-1;2;1;2;2.95;200;587;-1;0;
200;-1;0.109;0.094;0.015;0.0;3;-1;0;-1;2;1;2;2.95;200;539;-1;0;
200;-1;0.124;0.093;0.031;0.0;3;-1;0;-1;5;7;2;2.955;200;567;-1;0;
200;-1;0.11;0.094;0.016;0.0;3;-1;0;-1;2;1;2;2.95;200;581;-1;0;
200;-1;0.079;0.063;0.016;0.0;3;-1;0;-1;1;1;2;2.95;200;581;-1;0;
200;-1;0.094;0.078;0.016;0.0;3;-1;0;-1;4;5;2;2.95;200;576;-1;0;
200;-1;0.094;0.078;0.016;0.0;3;-1;0;-1;2;1;2;2.955;200;569;-1;0;
200;-1;0.078;0.047;0.015;0.016;3;-1;0;-1;2;1;2;2.95;200;583;-1;0;
200;-1;0.07;0.054;0.016;0.0;3;-1;0;-1;2;1;2;2.955;200;571;-1;0;
200;-1;0.202;0.187;0.015;0.0;4;-1;0;-1;2;1;2;2.955;200;568;-1;0;
200;-1;0.188;0.156;0.032;0.0;4;-1;0;-1;2;1;2;2.95;200;587;-1;0;
200;-1;0.109;0.094;0.015;0.0;4;-1;0;-1;3;1;2;2.95;200;539;-1;0;
200;-1;0.109;0.093;0.016;0.0;4;-1;0;-1;5;7;2;2.955;200;567;-1;0;
200;-1;0.125;0.094;0.015;0.016;4;-1;0;-1;3;1;2;2.95;200;581;-1;0;
200;-1;0.079;0.063;0.016;0.0;4;-1;0;-1;5;6;2;2.95;200;581;-1;0;
200;-1;0.093;0.078;0.015;0.0;4;-1;0;-1;4;5;2;2.95;200;576;-1;0;
200;-1;0.093;0.078;0.015;0.0;4;-1;0;-1;3;1;2;2.955;200;569;-1;0;
200;-1;0.063;0.047;0.016;0.0;4;-1;0;-1;3;1;2;2.95;200;583;-1;0;
200;-1;0.07;0.054;0.016;0.0;4;-1;0;-1;2;1;2;2.955;200;571;-1;0;
200;-1;0.203;0.187;0.016;0.0;5;-1;0;-1;6;5;2;2.955;200;568;-1;0;
200;-1;0.187;0.156;0.031;0.0;5;-1;0;-1;4;3;2;2.95;200;587;-1;0;
200;-1;0.11;0.094;0.016;0.0;5;-1;0;-1;4;1;2;2.95;200;539;-1;0;
200;-1;0.108;0.093;0.015;0.0;5;-1;0;-1;6;7;2;2.955;200;567;-1;0;
200;-1;0.11;0.094;0.016;0.0;5;-1;0;-1;4;1;2;2.95;200;581;-1;0;
200;-1;0.078;0.063;0.015;0.0;5;-1;0;-1;6;7;2;2.95;200;581;-1;0;
200;-1;0.11;0.078;0.032;0.0;5;-1;0;-1;6;5;2;2.95;200;576;-1;0;
200;-1;0.094;0.078;0.016;0.0;5;-1;0;-1;3;1;2;2.955;200;569;-1;0;
200;-1;0.063;0.047;0.016;0.0;5;-1;0;-1;4;3;2;2.95;200;583;-1;0;
200;-1;0.069;0.054;0.015;0.0;5;-1;0;-1;7;8;2;2.955;200;571;-1;0;
200;-1;0.202;0.187;0.015;0.0;6;-1;0;-1;7;6;2;2.955;200;568;-1;0;
200;-1;0.172;0.156;0.016;0.0;6;-1;0;-1;5;4;2;2.95;200;587;-1;0;
200;-1;0.109;0.094;0.015;0.0;6;-1;0;-1;4;1;2;2.95;200;539;-1;0;
200;-1;0.124;0.093;0.031;0.0;6;-1;0;-1;10;10;2;2.955;200;567;-1;0;
200;-1;0.118;0.094;0.016;0.008;6;-1;0;-1;4;1;2;2.95;200;581;-1;0;
200;-1;0.083;0.063;0.02;0.0;6;-1;0;-1;9;10;2;2.95;200;581;-1;0;
200;-1;0.094;0.078;0.016;0.0;6;-1;0;-1;7;5;2;2.95;200;576;-1;0;
200;-1;0.093;0.078;0.015;0.0;6;-1;0;-1;7;7;2;2.955;200;569;-1;0;
200;-1;0.078;0.047;0.031;0.0;6;-1;0;-1;7;7;2;2.95;200;583;-1;0;
200;-1;0.07;0.054;0.016;0.0;6;-1;0;-1;8;10;2;2.955;200;571;-1;0;
200;-1;0.202;0.187;0.015;0.0;7;-1;0;-1;6;5;2;2.955;200;568;-1;0;
200;-1;0.172;0.156;0.016;0.0;7;-1;0;-1;6;6;2;2.95;200;587;-1;0;
200;-1;0.109;0.094;0.015;0.0;7;-1;0;-1;5;1;2;2.95;200;539;-1;0;
200;-1;0.109;0.093;0.016;0.0;7;-1;0;-1;8;8;2;2.955;200;567;-1;0;
200;-1;0.133;0.094;0.016;0.023;7;-1;0;-1;6;1;2;2.95;200;581;-1;0;
200;-1;0.079;0.063;0.016;0.0;7;-1;0;-1;10;10;2;2.95;200;581;-1;0;
200;-1;0.109;0.078;0.015;0.016;7;-1;0;-1;7;5;2;2.95;200;576;-1;0;
200;-1;0.093;0.078;0.015;0.0;7;-1;0;-1;8;8;2;2.955;200;569;-1;0;
200;-1;0.079;0.047;0.032;0.0;7;-1;0;-1;10;11;2;2.95;200;583;-1;0;
